,mode,randmode,level_2,#contacts,#contacts(>4),#contacts(<=4),#rfrags,#rfrags(>4),#rfrags(<=4),max_count,mean_count,median_count,95percentile_count,exp
4,random_2,random,0,19600,1759,17841,14982,164,14818,81,1.3082365505272995,1.0,2.0,oS191
5,random_3,random,0,19600,1647,17953,15152,153,14999,71,1.293558606124604,1.0,2.0,oS191
6,random_4,random,0,19600,1614,17986,15096,145,14951,74,1.298357180710122,1.0,2.0,oS191
7,random_5,random,0,19600,1736,17864,15086,170,14916,74,1.299217817844359,1.0,2.0,oS191
8,random_6,random,0,19600,1604,17996,15157,145,15012,90,1.293131886257175,1.0,2.0,oS191
9,random_7,random,0,19600,1858,17742,15013,169,14844,75,1.305535202824219,1.0,2.0,oS191
10,random_8,random,0,19600,1634,17966,15140,150,14990,73,1.2945838837516512,1.0,2.0,oS191
11,random_9,random,0,19600,1610,17990,15097,152,14945,82,1.2982711797045772,1.0,2.0,oS191
0,junctions,real,0,17906,1603,16303,16199,64,16135,65,1.1053768751157478,1.0,1.0,oS194
1,junctions+hops,real,0,73600,14724,58876,44891,1193,43698,782,1.6395268539350871,1.0,3.0,oS194
2,random_0,random,0,17906,1755,16151,14322,134,14188,211,1.2502443792766373,1.0,2.0,oS194
3,random_1,random,0,17906,1952,15954,14179,154,14025,187,1.2628535157627476,1.0,2.0,oS194
4,random_2,random,0,17906,1899,16007,14187,148,14039,195,1.2621413970536406,1.0,2.0,oS194
5,random_3,random,0,17906,1837,16069,14253,143,14110,182,1.2562969199466778,1.0,2.0,oS194
6,random_4,random,0,17906,1841,16065,14237,146,14091,206,1.2577087869635457,1.0,2.0,oS194
7,random_5,random,0,17906,1849,16057,14219,152,14067,185,1.2593009353681694,1.0,2.0,oS194
8,random_6,random,0,17906,1895,16011,14135,156,13979,205,1.2667845772904138,1.0,2.0,oS194
9,random_7,random,0,17906,1925,15981,14168,152,14016,217,1.2638339920948616,1.0,2.0,oS194
10,random_8,random,0,17906,1915,15991,14151,146,14005,193,1.2653522719242456,1.0,2.0,oS194
11,random_9,random,0,17906,1772,16134,14347,140,14207,203,1.248065797727748,1.0,2.0,oS194
0,junctions,real,0,494168,286,493882,480535,48,480487,15,1.0283704620891299,1.0,1.0,oS20
1,junctions+hops,real,0,3250934,981416,2269518,1484458,111165,1373293,3109,2.1899804507773206,1.0,5.0,oS20
2,random_0,random,0,494168,39173,454995,389146,2393,386753,470,1.2698781434217492,1.0,2.0,oS20
3,random_1,random,0,494168,38739,455429,389912,2366,387546,474,1.2673834095898562,1.0,2.0,oS20
4,random_2,random,0,494168,38942,455226,389681,2364,387317,502,1.2681347050536207,1.0,2.0,oS20
5,random_3,random,0,494168,39059,455109,389871,2398,387473,471,1.2675166914184435,1.0,2.0,oS20
6,random_4,random,0,494168,39087,455081,389780,2392,387388,479,1.2678126122428037,1.0,2.0,oS20
7,random_5,random,0,494168,39321,454847,389057,2357,386700,520,1.2701686385285447,1.0,2.0,oS20
